date,target,forward_return,sentiment_mean,probability,threshold,test_year,model,feature_set,position,turnover,strategy_return,market_return,strategy_curve,market_curve
2015-04-07,1,0.0015154801463801437,-0.259764,0.4265561103820801,0.35,2015,xgboost,price_news,0.0,0.0,0.0,0.0015154801463801437,0.9399244058561776,1.1646546030014147
2015-04-08,1,0.003140381082588295,-0.225608,0.4551943838596344,0.35,2015,xgboost,price_news,0.0,0.0,0.0,0.003140381082588295,0.9399244058561776,1.1683120622844296
2015-04-09,1,0.005508180111659655,-0.161432,0.541606605052948,0.35,2015,xgboost,price_news,0.0,0.0,0.0,0.005508180111659655,0.9399244058561776,1.1747473355501168
2015-04-10,0,-0.004464109518931503,-0.148824,0.6770609021186829,0.35,2015,xgboost,price_news,1.0,1.0,-0.005464109518931503,-0.004464109518931503,0.9347885559630629,1.169503134787148
2015-04-13,1,0.0033186865086203277,-0.16194,0.7494868636131287,0.35,2015,xgboost,price_news,1.0,0.0,0.0033186865086203277,0.0033186865086203277,0.9378908261321501,1.1733843490623554
2015-04-14,1,0.004208650101568345,-0.134608,0.4708535373210907,0.35,2015,xgboost,price_news,0.0,1.0,-0.001,0.004208650101568345,0.936952935306018,1.1783227132222154
2015-04-15,0,-0.00037762885834879967,-0.1886,0.6057882308959961,0.35,2015,xgboost,price_news,1.0,1.0,-0.0013776288583487997,-0.00037762885834879967,0.9356621619034258,1.1778777445612547
2015-04-16,0,-0.015435342282552722,-0.120364,0.7145242094993591,0.35,2015,xgboost,price_news,1.0,0.0,-0.015435342282552722,-0.015435342282552722,0.9212198961736131,1.1596967984069506
2015-04-17,1,0.011703432448664008,-0.13214,0.6288489103317261,0.35,2015,xgboost,price_news,1.0,0.0,0.011703432448664008,0.011703432448664008,0.9320013309988463,1.1732692315480382
2015-04-20,0,-0.0047319199728727,-0.238508,0.41274428367614746,0.35,2015,xgboost,price_news,0.0,1.0,-0.001,-0.0047319199728727,0.9310693296678475,1.167717415437719
2015-04-21,1,0.00494048542449832,-0.20058,0.5079495310783386,0.35,2015,xgboost,price_news,0.0,0.0,0.0,0.00494048542449832,0.9310693296678475,1.173486506308622
2015-04-22,1,0.001132033312003955,-0.094312,0.5618807077407837,0.35,2015,xgboost,price_news,1.0,1.0,0.00013203331200395494,0.001132033312003955,0.9311922618351489,1.1748149321249504
2015-04-23,1,0.0011878587344795744,-0.203984,0.5222589373588562,0.35,2015,xgboost,price_news,0.0,1.0,-0.001,0.0011878587344795744,0.9302610695733138,1.176210446303472
2015-04-24,0,-0.0023323890491034893,-0.16898,0.5172597765922546,0.35,2015,xgboost,price_news,0.0,0.0,-0.0,-0.0023323890491034893,0.9302610695733138,1.1734670659390727
2015-04-27,1,0.004001000067485272,-0.21422799999999997,0.6191332936286926,0.35,2015,xgboost,price_news,1.0,1.0,0.003001000067485272,0.004001000067485272,0.9330527831058824,1.1781621077490867
2015-04-28,0,-0.004119864640752868,-0.16842,0.5317261219024658,0.35,2015,xgboost,price_news,0.0,1.0,-0.001,-0.004119864640752868,0.9321197303227765,1.1733082393402963
2015-04-29,0,-0.010812533571301186,-0.06458,0.6180672645568848,0.35,2015,xgboost,price_news,1.0,1.0,-0.011812533571301187,-0.010812533571301186,0.9211090347158665,1.160621804612945
2015-04-30,1,0.010287873942296022,-0.16876399999999997,0.4906388819217682,0.35,2015,xgboost,price_news,0.0,1.0,-0.001,0.010287873942296022,0.9201879256811506,1.1725621354334832
2015-05-01,1,0.0025709991308096036,-0.281584,0.5138965249061584,0.35,2015,xgboost,price_news,0.0,0.0,0.0,0.0025709991308096036,0.9201879256811506,1.175576791664503
2015-05-04,0,-0.007869287283242765,-0.337592,0.5852197408676147,0.35,2015,xgboost,price_news,1.0,1.0,-0.008869287283242766,-0.007869287283242765,0.9120265146137132,1.1663258401673822
2015-05-05,0,-0.0048091137847591225,-0.18962800000000002,0.6353645324707031,0.35,2015,xgboost,price_news,1.0,0.0,-0.0048091137847591225,-0.0048091137847591225,0.9076404753302185,1.1607168464919124
2015-05-06,1,0.004600390530782983,-0.15234,0.5413578748703003,0.35,2015,xgboost,price_news,0.0,1.0,-0.001,0.004600390530782983,0.9067328348548883,1.166056597281434
2015-05-07,1,0.014898902360865662,-0.135912,0.6887083649635315,0.35,2015,xgboost,price_news,1.0,1.0,0.013898902360865661,0.014898902360865662,0.9193354259939275,1.1834295606715735
2015-05-08,0,-0.004724255746497041,-0.050668000000000005,0.4700421988964081,0.35,2015,xgboost,price_news,0.0,1.0,-0.001,-0.004724255746497041,0.9184160905679335,1.1778387367689962
2015-05-11,0,-0.002040270992160975,-0.15674,0.429606169462204,0.35,2015,xgboost,price_news,0.0,0.0,-0.0,-0.002040270992160975,0.9184160905679335,1.175435626560923
2015-05-12,0,-0.00042838921128873775,-0.143424,0.6713415384292603,0.35,2015,xgboost,price_news,1.0,1.0,-0.0014283892112887378,-0.00042838921128873775,0.9171042349326923,1.1749320826199399
2015-05-13,1,0.01061709829110935,-0.189164,0.5483797192573547,0.35,2015,xgboost,price_news,0.0,1.0,-0.001,0.01061709829110935,0.9161871306977596,1.1874064520264935
2015-05-14,1,0.0011133051471756694,-0.263312,0.587551474571228,0.35,2015,xgboost,price_news,1.0,1.0,0.0001133051471756694,0.0011133051471756694,0.9162909394154438,1.1887283977413243
2015-05-15,1,0.0014404282274671498,-0.316304,0.7204763889312744,0.35,2015,xgboost,price_news,1.0,0.0,0.0014404282274671498,0.0014404282274671498,0.9176107907491502,1.1904406756802228
2015-05-18,1,0.0007382837291578515,-0.31432800000000005,0.5652911067008972,0.35,2015,xgboost,price_news,1.0,0.0,0.0007382837291578515,0.0007382837291578515,0.91828824786566,1.1913195586616052
2015-05-19,0,-0.0014738782364741576,-0.28946,0.6144901514053345,0.35,2015,xgboost,price_news,1.0,0.0,-0.0014738782364741576,-0.0014738782364741576,0.9169348028023208,1.1895636986914078
2015-05-20,1,1.8585483103183975e-05,-0.23635999999999996,0.5618187785148621,0.35,2015,xgboost,price_news,1.0,0.0,1.8585483103183975e-05,1.8585483103183975e-05,0.916951844478605,1.18958580730743
2015-05-21,0,-0.002937846776370212,-0.06930799999999998,0.5094729065895081,0.35,2015,xgboost,price_news,0.0,1.0,-0.001,-0.002937846776370212,0.9160348926341264,1.186090986478216
2015-05-22,0,-0.01044757925341877,-0.013007999999999988,0.40179088711738586,0.35,2015,xgboost,price_news,0.0,0.0,-0.0,-0.01044757925341877,0.9160348926341264,1.1736992068952192
2015-05-26,1,0.006731752295778826,-0.23101200000000002,0.4613431394100189,0.35,2015,xgboost,price_news,0.0,0.0,0.0,0.006731752295778826,0.9160348926341264,1.18160025922579
2015-05-27,0,-0.002030012268078085,-0.275308,0.5361393690109253,0.35,2015,xgboost,price_news,0.0,0.0,-0.0,-0.002030012268078085,0.9160348926341264,1.1792015962035973
2015-05-28,0,-0.006368680030293006,-0.18895199999999998,0.5871158838272095,0.35,2015,xgboost,price_news,1.0,1.0,-0.007368680030293006,-0.006368680030293006,0.9092849246137217,1.1716916385461658
2015-05-29,1,0.001648436012094523,-0.127464,0.4107295870780945,0.35,2015,xgboost,price_news,0.0,1.0,-0.001,0.001648436012094523,0.908375639689108,1.1736230972382153
2015-06-01,0,-0.0015758928089442126,-0.365456,0.3704470694065094,0.35,2015,xgboost,price_news,0.0,0.0,-0.0,-0.0015758928089442126,0.908375639689108,1.1717735930388669
2015-06-02,1,0.0035715242196912023,-0.10678400000000002,0.675369918346405,0.35,2015,xgboost,price_news,1.0,1.0,0.0025715242196912022,0.0035715242196912023,0.9107115496471461,1.1759586108063997
2015-06-03,0,-0.009442736661304907,-0.1257,0.5294927954673767,0.35,2015,xgboost,price_news,0.0,1.0,-0.001,-0.009442736661304907,0.9098008380974989,1.164854343319961
2015-06-04,0,-0.0031341704516432145,-0.06307199999999999,0.5304208397865295,0.35,2015,xgboost,price_news,0.0,0.0,-0.0,-0.0031341704516432145,0.9098008380974989,1.1612034912566593
2015-06-05,0,-0.004644966998610611,-0.02538399999999999,0.3440500497817993,0.35,2015,xgboost,price_news,0.0,0.0,-0.0,-0.004644966998610611,0.9098008380974989,1.1558097393611007
2015-06-08,0,-0.00014137347372389364,-0.02323199999999999,0.46073371171951294,0.35,2015,xgboost,price_news,0.0,0.0,-0.0,-0.00014137347372389364,0.9098008380974989,1.1556463385232834
2015-06-09,1,0.013305607366379535,-0.126724,0.5002749562263489,0.35,2015,xgboost,price_news,0.0,0.0,0.0,0.013305607366379535,0.9098008380974989,1.1710229149580682
2015-06-10,1,0.0021648824000317646,-0.156216,0.619828999042511,0.35,2015,xgboost,price_news,1.0,1.0,0.0011648824000317646,0.0021648824000317646,0.9108606490813329,1.1735580418566949
2015-06-11,0,-0.007790144760694839,-0.08484799999999999,0.5764625072479248,0.35,2015,xgboost,price_news,1.0,0.0,-0.007790144760694839,-0.007790144760694839,0.9037649127681688,1.1644158548255537
2015-06-12,0,-0.00601546932306285,-0.143272,0.5225052833557129,0.35,2015,xgboost,price_news,0.0,1.0,-0.001,-0.00601546932306285,0.9028611478554006,1.1574113469715626
